kanji,kana,romaji,meaning,part_of_speech,example_sentence
高い,たかい,takai,Tinggi / Mahal,Kata sifat-i,このかばんは高いです。
安い,やすい,yasui,Murah,Kata sifat-i,りんごは安いです。
面白い,おもしろい,omoshiroi,Menarik / Lucu,Kata sifat-i,この本は面白いです。
静か,しずか,shizuka,Tenang / Sunyi,Kata sifat-na,静かな部屋です。
賑やか,にぎやか,nigiyaka,Ramai,Kata sifat-na,駅の前は賑やかです。
元気,げんき,genki,Sehat / Bersemangat,Kata sifat-na,お元気ですか。
親切,しんせつ,shinsetsu,Ramah / Baik hati,Kata sifat-na,親切な人です。
好き,すき,suki,Suka,Kata sifat-na,日本料理が好きです。
上手,じょうず,jouzu,Pandai / Mahir,Kata sifat-na,歌が上手ですね。
下手,へた,heta,Kurang pandai,Kata sifat-na,料理が下手です。
