character,onyomi,kunyomi,meaning,stroke_count,examples
半,ハン,なか・ば,Setengah / Separuh,5,"半 (han), 半分 (hanbun)"
毎,マイ,ごと,Setiap,6,"毎日 (mainichi), 毎週 (maishuu)"
週,シュウ,-,Minggu (Pekan),11,"今週 (konshuu), 来週 (raishuu)"
休,キュウ,やす・む,Istirahat / Libur,6,"休む (yasumu), 休み (yasumi)"
天,テン,あめ・あま,Langit / Surga,4,"天気 (tenki), 天国 (tengoku)"
気,キ・ケ,いき,Semangat / Udara / Energi,6,"元気 (genki), 気をつける (ki o tsukeru)"
雨,ウ,あめ・あま,Hujan,8,"雨 (ame), 大雨 (ooame)"
白,ハク・ビャク,しろ・しろい,Putih,5,"白い (shiroi), 面白い (omoshiroi)"
黒,コク,くろ・くろい,Hitam,11,"黒い (kuroi), 黒板 (kokuban)"
赤,セキ・シャク,あか・あかい,Merah,7,"赤い (akai), 赤ちゃん (akachan)"
青,セイ・ショウ,あお・あおい,Biru / Muda,8,"青い (aoi), 青年 (seinen)"
安,アン,やす・い,Murah / Tenang,6,"安い (yasui), 安心 (anshin)"
高,コウ,たか・い,Tinggi / Mahal,10,"高い (takai), 高校 (koukou)"
新,シン,あたら・しい,Baru,13,"新しい (atarashii), 新聞 (shinbun)"
古,コ,ふる・い,Lama / Kuno,5,"古い (furui), 古本 (furuhon)"
長,チョウ,なが・い,Panjang / Ketua,8,"長い (nagai), 社長 (shachou)"
多,タ,おお・い,Banyak,6,"多い (ooi), 多分 (tabun)"
少,ショウ,すく・ない・すこ・し,Sedikit,4,"少し (sukoshi), 少ない (sukunai)"
早,ソウ・サッ,はや・い,Cepat (Waktu) / Pagi,6,"早い (hayai), 早朝 (souchou)"
手,シュ,て・た,Tangan,4,"手 (te), 上手 (jouzu)"
目,モク・ボク,め・ま,Mata,5,"目 (me), 目的 (mokuteki)"
耳,ジ,みみ,Telinga,6,"耳 (mimi)"
口,コウ・ク,くち,Mulut / Pintu masuk,3,"口 (kuchi), 入口 (iriguchi)"
足,ソク,あし・た・りる,Kaki / Cukup,7,"足 (ashi), 足りる (tariru)"
立,リツ・リュウ,た・つ,Berdiri,5,"立つ (tatsu)"
入,ニュウ,はい・る・い・れる,Masuk / Memasukkan,2,"入る (hairu), 入口 (iriguchi)"
出,シュツ・スイ,で・る・だ・す,Keluar / Mengeluarkan,5,"出る (deru), 出口 (deguchi)"
